🔴  央视频道,#genre#
江西卫视,http://222.85.69.6/TVOD/88888888/224/3221227024/index.m3u8?icpid=88888888&servicetype=3&playseek=
江西卫视,http://222.85.69.6/TVOD/88888888/224/3221226449/10000100000000060000000000399662_0.smil/index.m3u8?fmt=ts2hls&servicetype=
江西卫视,http://222.85.69.6/PLTV/88888888/224/3221227024/index.m3u8?icpid=88888888&servicetype=2&npt=
江西卫视,http://222.85.69.6/PLTV/88888888/224/3221226449/10000100000000060000000000399662_0.smil/index.m3u8?
陕西卫视,http://222.85.69.6/PLTV/88888888/224/3221227011/index.m3u8?icpid=88888888&servicetype=1
陕西卫视,rtp://239.16.10.17:2000
陕西卫视,http://222.85.69.6/TVOD/88888888/224/3221227011/index.m3u8?icpid=88888888&servicetype=3&playseek=
陕西卫视,http://222.85.69.6/TVOD/88888888/224/3221226434/10000100000000060000000000398848_0.smil/index.m3u8?fmt=ts2hls&servicetype=
陕西卫视,http://222.85.69.6/PLTV/88888888/224/3221227011/index.m3u8?icpid=88888888&servicetype=2&npt=
陕西卫视,http://222.85.69.6/PLTV/88888888/224/3221226434/10000100000000060000000000398848_0.smil/index.m3u8?
甘肃卫视,http://222.85.69.6/PLTV/88888888/224/3221227013/index.m3u8?icpid=88888888&servicetype=1
甘肃卫视,rtp://239.16.10.114:2000
甘肃卫视,http://222.85.69.6/TVOD/88888888/224/3221227013/index.m3u8?icpid=88888888&servicetype=3&playseek=
甘肃卫视,http://222.85.69.6/TVOD/88888888/224/3221226523/10000100000000060000000000428972_0.smil/index.m3u8?fmt=ts2hls&servicetype=
甘肃卫视,http://222.85.69.6/PLTV/88888888/224/3221227013/index.m3u8?icpid=88888888&servicetype=2&npt=
